place_id,name,latitude,longitude,rating,is_boutique
ChIJoW685XhNKocRuZz5vd_BWXU,Planet Fitness,33.2528524,-111.6358907,4.6,0
ChIJB3JUc4OtK4cRT_gKyGb0AnM,Sun Devil Fitness Complex- Polytechnic,33.307794,-111.6749081,4.5,0
ChIJ0UTeDj-zK4cRWOdR4hguMn4,Gym Club,33.300146,-111.6299468,5.0,0
ChIJO-t8zBg_K4cRBcSMdLWD5lM,Planet Fitness,33.4480026,-112.3081605,4.4,0
ChIJ5UEvkmBHK4cROIPsjT_betM,Southwest Valley Family YMCA,33.4790287,-112.3585689,4.2,0
ChIJ44syMCA4K4cRxAJR6zFQ-HM,Planet Fitness,33.4419775,-112.4231215,4.4,0
ChIJTxuKhOc5K4cRcL4JbzKM6Do,Planet Fitness,33.4508719,-112.3564834,4.5,0
ChIJnbigT045K4cRS2J885sBZ1o,Fuego Fitness Club,33.4488756,-112.3381418,5.0,0
ChIJ8SD448o_K4cR1v5Aqro5byo,Fitness Junkeez Gym,33.4527554,-112.3274681,4.7,0
ChIJX7CbX0IVK4cRGL3ehz3ei1M,LA Fitness,33.48153840000001,-112.2232194,4.1,0
ChIJZ0DnKbYSK4cRkVZZqPPSJrU,FLC,33.5213036,-112.07077,4.6,0
ChIJb0iWUmMRK4cRodGbIppCIh4,FLEX Spas Phoenix,33.4337502,-112.1072675,3.9,0
ChIJi7xgQ_EMK4cRFhvkOaCP2T4,Camelback Village Racquet & Health Club,33.5106846,-111.9846544,4.0,0
ChIJJ3I2tYYRK4cRUm-so8PFQYs,Planet Fitness,33.3787688,-112.0718839,4.5,0
ChIJtzcFXb4OK4cRLTZ-RBLpBwE,Ability360 Sports & Fitness Center,33.4451355,-111.9737363,4.8,0
ChIJLQp6FrgFK4cR_sXAUHxvEaA,Ahwatukee Recreation Center,33.34486,-111.977013,4.5,0
ChIJg98P54YFK4cRdsf1b4oRnfE,SAF Personal Training (Strength and Fitness),33.3206848,-111.9913915,5.0,0
ChIJORHorUypK4cRr8buzaTwE3Q,Fitness Haus,33.3945824,-111.8535981,4.3,0
ChIJfQEmFMSpK4cR4woB-9uO4Oo,Crunch Fitness - Mesa Grand,33.3829569,-111.8025484,4.9,0
ChIJfxhF3x-sK4cR3DKbNtymBMQ,Planet Fitness,33.3349899,-111.7395962,4.6,0
ChIJP_QqwpSlK4cRmnoT8rYsPLE,Mountainside Fitness Mesa,33.4386111,-111.735,4.9,0
ChIJq3Tz7hapK4cRv5_B8XxyAkw,The Collective,33.3227854,-111.7218211,4.9,0
ChIJLymroJAHK4cRjU0grCEfQ5M,Anytime Fitness,33.3632614,-111.655732,3.7,0
ChIJQeCYcmuxK4cRskbZANt_KCw,LA Fitness,33.3808145,-111.5988168,4.0,0
ChIJDcOmQkxHK4cRPKkUIfsnu7I,Anytime Fitness,33.4940957,-112.3375651,3.9,0
ChIJTZtp3Gk1K4cRh6ji_WwUNEQ,Planet Fitness,33.4339866,-112.5540646,4.5,0
ChIJI7ml_SpJK4cRImJijFNbgMI,The Victory Club,33.5137446,-112.5116714,4.7,0
ChIJPfFQUC1FK4cRWrTNYS2alGc,Mountainside Fitness Surprise,33.6372247,-112.3920275,4.6,0
ChIJs4i_dHUVK4cRZFzSoX0ItTM,Planet Fitness,33.4241358,-112.2246363,4.5,0
ChIJZS1aJcMSK4cR5Ybq7Tiw2qM,LA Fitness,33.5114008,-112.0833713,4.3,0
ChIJufhMFx4SK4cRoOcqUPDa5xw,Mountainside Fitness Chase Field,33.445918,-112.0662671,4.4,0
ChIJq1vlECMSK4cR6m451GqYuM0,SDFC - Downtown Phoenix,33.4525886,-112.0755376,4.6,0
ChIJre8va2wNK4cRUBPUxYPfHe0,LA Fitness,33.5074129,-112.0369734,4.0,0
ChIJY6GbgLQLK4cR2VHqEfaxfXY,Club SAR,33.500651,-111.906778,4.7,0
ChIJCb4BmVMMK4cRsqzrsDWD1PY,Stealth Performance AZ,33.4941,-111.99595,4.9,0
ChIJb6tnECYTK4cRzSyGrmIpOBQ,Liberty Performance Training,33.4733543,-112.0299072,4.9,0
ChIJoaj_6BcLK4cRUGdx3YAFkNM,Life Time,33.5045509,-111.9318697,4.0,0
ChIJrYCHWjAIK4cRulQ5SYFGrJA,LA Fitness,33.4300079,-111.8712977,4.1,0
ChIJw3Re0SYJK4cRYk9x3b31p4A,Mountainside Fitness Tempe Marina Heights,33.4310649,-111.9336089,4.5,0
ChIJ0xUxXPYJK4cRa6TWLiMeSCU,Anytime Fitness,33.4538608,-111.92713,4.3,0
ChIJD4qjZ2QLK4cRmy8oLGLwBrs,LUXE Health Club,33.5219689,-111.8996646,5.0,0
ChIJIdgTFaUIK4cRjlDg9NhNN8Y,LA Fitness,33.3916509,-111.9381288,4.3,0
ChIJk15pFNOoK4cRay1W8D3SFks,The Fitness Vault,33.4359923,-111.8434934,5.0,0
ChIJXx2gpvenK4cRyzjuSfz7pgc,Amped Fitness (Mesa) Enrollment Center,33.4236412,-111.8035447,4.8,0
ChIJSbFO-uCpK4cRHjcBqq2S-zg,TG The Gym (Mesa),33.39462880000001,-111.789879,4.6,0
ChIJpQWfo1-mK4cRTw_FNVONQ0Q,Anytime Fitness,33.4492509,-111.8036609,4.7,0
ChIJm_MxIyMHK4cR5iO_oLSbaaY,Bingham Health & Fitness,33.3844921,-111.8593717,5.0,0
ChIJcVTf-4IHK4cRfRRsrA4gWh0,Atmos Athletics,33.3778711,-111.8719149,4.9,0
ChIJ248rqiSlK4cRww9FG-yLdYA,LA Fitness,33.4629156,-111.6826546,4.3,0
ChIJXWBr1A-7K4cRSq7JMZPQBU8,Las Sendas Spa and Fitness Center,33.4876964,-111.6622996,4.7,0
ChIJ7bC5wD2lK4cRuC0sMBWASVw,Planet Fitness,33.4506589,-111.6808383,4.5,0
ChIJq4okc4ivK4cRmq07TyzNcBI,Nucleus Gym,33.4065345,-111.668096,5.0,0
ChIJ_TTJFNGwK4cRgMBWaE4bZaA,Planet Fitness,33.4136933,-111.5786091,4.5,0
ChIJIeRUEx9bK4cRMBu0s62aM3g,LA Fitness,33.6362648,-112.4167571,4.6,0
ChIJfWynzr1BK4cR_jNXNzsQdm0,Smart Gym Peoria,33.5538353,-112.2691845,4.2,0
