latitude,longitude,total_population,population_density,median_hh_income,median_age,pct_age_20_45,pct_bachelors_plus,reachable_pop_10min,reachable_pop_15min,reachable_pop_25min,competitor_count_3mi,nearest_competitor_dist_mi,eos_count_5mi,nearest_eos_dist_mi,years_open
33.165,-111.92499999999998,16538.0,2182.6290354441694,58013.947467166974,64.68754463475156,0.1141008586286129,0.33946160357963484,0.0,16538.0,250616.0,0.0,4.953531006651503,0.0,9.663228089484639,3.0
33.165,-111.90999999999998,13430.0,2684.796366284217,62853.51874767052,73.02517331345508,0.022263588979895756,0.3940683544303798,2854.0,13430.0,246620.0,0.0,4.4124057504941705,0.0,8.968860388275827,3.0
33.165,-111.89499999999998,27568.0,2856.2537143723,113516.99209228091,58.647707486941385,0.1283009286128845,0.5278883778293674,2854.0,27568.0,251418.0,0.0,3.987496845317627,0.0,8.306737490172726,3.0
33.165,-111.87999999999998,30450.0,2858.6905220957487,108732.39960591134,60.36576683087028,0.1174055829228243,0.5124052348111658,5602.0,30450.0,265213.0,0.0,3.718855897603101,0.0,7.685198130705707,3.0
33.165,-111.86499999999998,41193.0,3290.048476451889,128516.76085742725,55.16283106353021,0.16371713640667107,0.5167115577889447,8007.0,41193.0,277971.0,0.0,3.641235888286764,0.0,7.114886112725539,3.0
33.165,-111.84999999999998,47999.0,3331.8425553695124,129534.17650367717,54.33044230088126,0.17112856517844122,0.5238309714785725,5153.0,47999.0,290845.0,0.0,3.7664651747292757,0.0,6.6090763346475105,3.0
33.165,-111.83499999999998,58849.0,3743.7976204200504,136067.9625822019,51.50276300361944,0.19067443796835973,0.5323022413295043,5287.0,58849.0,292169.0,0.0,4.075889171952564,0.0,6.18361763926519,3.0
33.165,-111.81999999999998,60023.0,3588.3545339179027,140284.08766639454,51.45205671159388,0.18707828665678156,0.5343615580694068,9009.0,60023.0,300835.0,0.0,4.53193520286065,0.0,5.856049498710958,3.0
33.165,-111.80499999999998,64982.0,3754.8004098452975,154942.68471268966,46.107048105629254,0.22898648856606446,0.5663417638730724,9009.0,64982.0,324189.0,0.0,5.095385396130748,0.0,5.643443617630097,3.0
33.165,-111.78999999999998,59189.0,3692.4956797810214,152568.03762523443,46.24000236530437,0.22588656676071567,0.5425254456064473,8793.0,59189.0,333396.0,0.0,5.7346682117249115,0.0,5.559005982248775,3.0
33.165,-111.77499999999998,59537.0,3450.2301794490777,152962.8630095571,44.61815005794717,0.23504711355963517,0.5295830189629979,14941.0,59537.0,342751.0,0.0,5.80471041847263,0.0,5.6085283869547835,3.0
